T:ZetaZero = -0.01498130+0.99988777i, b=-8.97600000
T:ZetaZero = +0.01516846+0.99988495i, b=-2.35800000
T:ZetaZero = +0.01517307+0.99988488i, b=-7.45900000
T:ZetaZero = +0.01530816-0.99988282i, b=-6.98100000
T:ZetaZero = -0.01531125+0.99988278i, b=-6.70000000
T:ZetaZero = +0.01545486+0.99988057i, b=-14.65100000
T:ZetaZero = -0.01552739-0.99987944i, b=-11.12100000
T:ZetaZero = +0.01568695+0.99987695i, b=-8.59600000
T:ZetaZero = +0.01596804-0.99987250i, b=-7.54500000
T:ZetaZero = +0.01605326+0.99987114i, b=-10.10100000
T:ZetaZero = -0.01605473+0.99987111i, b=-11.43300000
T:ZetaZero = -0.01606067-0.99987102i, b=-6.98000000
T:ZetaZero = -0.01619367-0.99986887i, b=-0.74800000
T:ZetaZero = -0.01629778-0.99986718i, b=-2.82700000
T:ZetaZero = -0.01639336+0.99986562i, b=-12.92900000
T:ZetaZero = +0.01666164-0.99986119i, b=-14.14900000
T:ZetaZero = -0.01687809-0.99985755i, b=-12.63700000
T:ZetaZero = -0.01689434-0.99985728i, b=-3.39300000
T:ZetaZero = +0.01691536-0.99985693i, b=-2.82800000
T:ZetaZero = +0.01692117-0.99985683i, b=-0.74900000
T:ZetaZero = +0.01703553-0.99985488i, b=-3.39400000
T:ZetaZero = -0.01706392-0.99985440i, b=-11.30700000
T:ZetaZero = +0.01707887-0.99985415i, b=-11.30800000
T:ZetaZero = +0.01708987-0.99985396i, b=-6.41600000
T:ZetaZero = -0.01718379+0.99985235i, b=-10.10200000
T:ZetaZero = -0.01728934-0.99985053i, b=-10.93900000
T:ZetaZero = -0.01732074+0.99984998i, b=-7.46000000
T:ZetaZero = +0.01738309+0.99984890i, b=-12.17800000
T:ZetaZero = -0.01749242+0.99984700i, b=-6.89000000
T:ZetaZero = +0.01756977+0.99984564i, b=-6.88900000
T:ZetaZero = -0.01786563+0.99984040i, b=-5.19300000
T:ZetaZero = +0.01804618+0.99983715i, b=-14.82600000
T:ZetaZero = +0.01814467+0.99983537i, b=-0.65300000
T:ZetaZero = -0.01816192+0.99983506i, b=-12.56100000
T:ZetaZero = +0.01816343-0.99983503i, b=-6.79400000
T:ZetaZero = +0.01830792+0.99983240i, b=-15.00400000
T:ZetaZero = +0.01850472+0.99982877i, b=-6.69900000
T:ZetaZero = -0.01854598+0.99982801i, b=-2.35900000
T:ZetaZero = +0.01868438+0.99982543i, b=-8.21000000
T:ZetaZero = +0.01878736+0.99982350i, b=-5.19200000
T:ZetaZero = -0.01883456-0.99982261i, b=-6.41500000
T:ZetaZero = -0.01898013-0.99981986i, b=-10.56900000
T:ZetaZero = +0.01919472-0.99981576i, b=-3.58300000
T:ZetaZero = -0.01954669-0.99980895i, b=-7.54400000
T:ZetaZero = +0.01954768-0.99980893i, b=-0.93900000
T:ZetaZero = -0.01956914-0.99980851i, b=-3.77100000
T:ZetaZero = -0.01962903+0.99980733i, b=-8.21100000
T:ZetaZero = +0.01965619+0.99980680i, b=-3.86900000
T:ZetaZero = -0.01973902+0.99980517i, b=-13.50200000
